index	qualified_name	sentence	predication	main verb	functionality category	"score for the predication(1 absolutely disagree, 2 disagree, 3 agree, 4 absolutely agree)"	"if you disagree with the predication, which category do you think it should belong to? (just write the main verb)"
131	org.apache.poi.xssf.usermodel.XSSFPivotTable.addReportFilter(int)	Add filter for the column with the corresponding index and cell value	43	add	append/put/add/insert/push/interpolate/place/install/register/queue/register/enqueue	4	
132	org.apache.poi.hslf.usermodel.HSLFSlideShow.removeSlide(int)	Removes the slide at the given index (0-based).	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
133	org.apache.poi.hssf.usermodel.HSSFSheet.setRowBreak(int)	Sets a page break at the indicated row Breaks occur above the specified row and left of the specified column inclusive.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
134	org.apache.poi.hwpf.model.types.StshifAbstractType.setFHasOriginalStyle(boolean)	Sets the fHasOriginalStyle field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
135	org.apache.poi.hssf.model.InternalWorkbook.getCustomPalette()	"Returns the custom palette in use for this workbook; if a custom palette record does not exist	 then it is created."	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
136	org.apache.poi.hwpf.model.types.FSPAAbstractType.setWr(byte)	Sets the wr field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
137	org.apache.poi.hwmf.record.HwmfMisc.WmfSetRop2.draw(HwmfGraphics)	Apply the record settings to the graphics context	38	apply	apply/reapply/accept/re-apply	4	
138	org.apache.poi.sl.draw.binding.CTRelativeRect.setR(int)	Sets the value of the r property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
139	org.apache.poi.hssf.model.InternalWorkbook.findSheetFirstNameFromExternSheet(int)	Finds the first sheet name by his extern sheet index	22	find	query/find/locate/determine/retrieve/visit/look/search/discover/seek	4	
140	org.apache.poi.hssf.record.common.UnicodeString.getDebugInfo()	return a character representation of the fields of this record	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
141	org.apache.poi.hwpf.model.types.PAPAbstractType.setDxaFromText(int)	Horizontal distance between text and absolutely positioned object.	10	unknown	not a function	4	
142	org.apache.poi.hwpf.model.types.DOPAbstractType.setFSupressTopSpacing(boolean)	Sets the fSupressTopSpacing field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
143	org.apache.poi.ss.usermodel.PrintSetup.setFooterMargin(double)	Sets the footer margin.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
144	org.apache.poi.hssf.record.IterationRecord.getIteration()	get whether or not to iterate for calculations	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
145	org.apache.poi.poifs.crypt.dsig.services.SignaturePolicyService.getSignaturePolicyDescription()	Gives back the short description of the signature policy or null if a description is not available.	52	provide	provide/give/supply	4	
146	org.apache.poi.hslf.record.HeadersFootersContainer.getOptions()	Must be either SlideHeadersFootersContainer or NotesHeadersFootersContainer	10	unknown	not a function	4	
147	org.apache.poi.hssf.extractor.ExcelExtractor.setIncludeSheetNames(boolean)	Should sheet names be included? Default is true	10	unknown	not a function	4	
148	org.apache.poi.hslf.usermodel.HSLFTextParagraph.setLineSpacing(java.lang.Double)	This element specifies the vertical line spacing that is to be used within a paragraph.	10	unknown	not a function	4	
149	org.apache.poi.ss.usermodel.CellStyle.getShrinkToFit()	Should the Cell be auto-sized by Excel to shrink  it to fit if this text is too long?	10	unknown	not a function	4	
150	org.apache.poi.hpsf.PropertySet.toInputStream()	Returns the contents of this property set stream as an input stream.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
151	org.apache.poi.hwpf.model.types.TLPAbstractType.isFColor()	"When == 1	 use the color from the selected table look"	10	unknown	not a function	4	
152	org.apache.poi.xssf.streaming.SXSSFWorkbook.getNumberOfFonts()	Get the number of fonts in the font table	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
153	org.apache.poi.ss.usermodel.Sheet.setForceFormulaRecalculation(boolean)	Control if Excel should be asked to recalculate all formulas on this sheet when the workbook is opened.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
154	org.apache.poi.ss.usermodel.Workbook.removeName(java.lang.String)	Remove a defined name by name	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
155	org.apache.poi.hwpf.model.types.DOPAbstractType.setFSupressSpdfAfterPageBreak(boolean)	Sets the fSupressSpdfAfterPageBreak field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
156	org.apache.poi.hwpf.model.types.DOPAbstractType.setDxaHotz(int)	Set the dxaHotz field for the DOP record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
157	org.apache.poi.hwpf.model.types.DOPAbstractType.setFHtmlDoc(boolean)	Sets the fHtmlDoc field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
158	org.apache.poi.xslf.usermodel.XSLFTextParagraph.addLineBreak()	Insert a line break	43	add	append/put/add/insert/push/interpolate/place/install/register/queue/register/enqueue	4	
159	org.apache.poi.hssf.usermodel.HSSFComment.setColumn(int)	Set the column of the cell that contains the comment	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
160	"org.apache.poi.hpsf.Section.setProperty(int	java.lang.String)"	Sets the string value of the property with the specified ID.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
161	org.apache.poi.ss.usermodel.DateUtil.parseYYYYMMDDDate(java.lang.String)	"""Converts a string of format YYYY/MM/DD"""" to its (Excel) numeric equivalent"""""""	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	4	
162	org.apache.poi.hpsf.SummaryInformation.removeRevNumber()	Removes the revision number.	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
163	org.apache.poi.ss.formula.eval.AreaEvalBase.containsColumn(int)	returns true if the specified col is in range	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
164	org.apache.poi.hssf.usermodel.HSSFDataValidation.setShowErrorBox(boolean)	Sets the behaviour when an invalid value is entered	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
165	org.apache.poi.hssf.record.chart.AxisOptionsRecord.isDefaultDateSettings()	use default date setttings for this axis	10	unknown	not a function	4	
166	org.apache.poi.hssf.record.chart.ChartStartObjectRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
167	"org.apache.poi.poifs.filesystem.DocumentOutputStream.write(byte[]	int	int)"	Writes len bytes from the specified byte array starting at offset off to this output stream.	41	write	write/record/log/print/output	4	
168	org.apache.poi.hwpf.model.types.LFOLVLBaseAbstractType.getFlags()	Get the flags field for the LFOLVLBase record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
169	org.apache.poi.hssf.usermodel.HSSFFont.getIndex()	get the index within the HSSFWorkbook (sequence within the collection of Font objects)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
170	org.apache.poi.xssf.usermodel.XSSFCreationHelper.createDataFormat()	Creates a new DataFormat instance	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
171	org.apache.poi.openxml4j.opc.internal.PackagePropertiesPart.getOutputStreamImpl()	Abstract method that get the output stream of this part.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
172	org.apache.poi.xssf.usermodel.XSSFDataValidationConstraint.getExplicitListValues()	"If validation type is DataValidationConstraint.ValidationType.LIST and formula1 was comma-separated literal values rather than a range or named range	 returns list of literal values."	10	unknown	not a function	4	
173	org.apache.poi.sl.usermodel.SlideShow.getPictureData()	Returns all Pictures of this slideshow.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
174	org.apache.poi.poifs.filesystem.NPOIFSMiniStore.getNextBlock(int)	Works out what block follows the specified one.	34	compute	compute/calculate/determine/evaluate/solve/scale/measure/recalculate/multiply/count/figure/subtract/increase/estimate/return	4	
175	org.apache.poi.util.StaxHelper.newXMLOutputFactory()	"Creates a new StAX XMLOutputFactory	 with sensible defaults"	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
176	org.apache.poi.hslf.usermodel.HSLFTextRun.setText(java.lang.String)	Change the text	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
177	org.apache.poi.xssf.streaming.SXSSFRow.getPhysicalNumberOfCells()	Gets the number of defined cells (NOT number of cells in the actual row!).	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
178	org.apache.poi.hwpf.model.types.TAPAbstractType.setFLastRow(boolean)	Sets the fLastRow field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
179	org.apache.poi.hwpf.model.types.FFDataBaseAbstractType.setFOwnStat(boolean)	Sets the fOwnStat field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
180	org.apache.poi.hssf.record.ProtectionRev4Record.setProtect(boolean)	set whether the this is protected shared/tracked workbook or not	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
181	org.apache.poi.hssf.record.RowRecord.getXFIndex()	if the row is formatted then this is the index to the extended format record	28	format	format/return	4	
182	org.apache.poi.hslf.record.AnimationInfoAtom.getSlideCount()	An unsigned integer that specifies the number of slides that this animation continues playing.	10	unknown	not a function	4	
183	org.apache.poi.hsmf.datatypes.PropertyValue.getFlags()	Get the raw value flags.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
184	org.apache.poi.openxml4j.opc.internal.PackagePropertiesPart.setLanguageProperty(java.lang.String)	Set language.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
185	org.apache.poi.poifs.filesystem.OPOIFSFileSystem.writeFilesystem(java.io.OutputStream)	Write the filesystem out	41	write	write/record/log/print/output	4	
186	org.apache.poi.hpsf.CustomProperties.isPure()	Tells whether this CustomProperties instance is pure or one or more properties of the underlying low-level property set has been dropped.	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
187	org.apache.poi.xssf.streaming.SXSSFCell.setCellType(int)	Deprecated.__OI 3.15 beta 3. Use setCellType(CellType) instead. Will be deleted when we make the CellType enum transition. See bug 59791.	10	unknown	not a function	4	
188	org.apache.poi.hssf.record.chart.TextRecord.setWidth(int)	Set the width field for the Text record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
189	org.apache.poi.ss.usermodel.Workbook.removePrintArea(int)	Delete the printarea for the sheet specified	59	remove	remove/exclude/reduce/delete/pop/uninstall/detach/decrement/revoke/dequeue/abandon/discard/peek	4	
190	org.apache.poi.hpsf.SummaryInformation.getApplicationName()	Returns the application name (or null).	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
191	org.apache.poi.xwpf.usermodel.IBody.getBodyElements()	"Returns an Iterator with paragraphs and tables	 in the order that they occur in the text."	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
192	org.apache.poi.hssf.record.RowRecord.setPhoeneticGuide(boolean)	A bit that specifies whether the phonetic guide feature is enabled for any cell in this row.	10	unknown	not a function	4	
193	org.apache.poi.poifs.filesystem.NDocumentInputStream.reset()	Repositions this stream to the position at the time the mark() method was last called on this input stream.	27	initialize	initialize/reinitialize/prepare/refresh/reset/initiate/reposition	4	
194	org.apache.poi.poifs.filesystem.FilteringDirectoryNode.isDocumentEntry()	is this a DocumentEntry?	10	unknown	not a function	4	
195	org.apache.poi.hssf.usermodel.HSSFDataFormat.getFormat(short)	get the format string that matches the given format index	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
196	org.apache.poi.hslf.model.PPGraphics2D.getDeviceConfiguration()	Returns the device configuration associated with this Graphics2D.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
197	org.apache.poi.xslf.usermodel.SlideLayout.values()	"Returns an array containing the constants of this enum type	 inthe order they are declared."	61	convert	convert/change/transfer/flatten/parse/map/turn/transform/reconvert/move/unmarshal/adapt/marshal/package/translate/encode/decode/synthesize/wrap/compress/force/cast/pack/compact/unescape/encrypt/return/escape	2	create
198	org.apache.poi.hwpf.model.types.FibRgW97AbstractType.getLidFE()	A LID whose meaning depends on the nFib value.	10	unknown	not a function	4	
199	org.apache.poi.hslf.usermodel.HSLFSimpleShape.setLineBackgroundColor(java.awt.Color)	Sets the background color of line	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
200	org.apache.poi.xslf.usermodel.XMLSlideShow.findPictureData(byte[])	check if a picture with this picture data already exists in this presentation	3	check	test/tell/determine/check/retrieve/ascertain/return/control/indicate/query/report/validate/get/invalidate/verify/find/identify/track/detect/decide	4	
201	"org.apache.poi.ss.usermodel.Workbook.linkExternalWorkbook(java.lang.String	Workbook)"	Adds the linking required to allow formulas referencing  the specified external workbook to be added to this one.	43	add	append/put/add/insert/push/interpolate/place/install/register/queue/register/enqueue	4	
202	org.apache.poi.hssf.record.WindowOneRecord.getVerticalHold()	get the vertical position of the window (in 1/20ths of a point)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
203	org.apache.poi.hslf.record.UserEditAtom.getRecordType()	We are of type 4085	10	unknown	not a function	4	
204	org.apache.poi.openxml4j.opc.PackageRelationshipCollection.getRelationshipByID(java.lang.String)	Retrieves a package relationship based on its id.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
205	org.apache.poi.hwmf.record.HwmfPenStyle.clone()	Creates a new object of the same class and with the same contents as this object.	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
206	org.apache.poi.xssf.streaming.SXSSFWorkbook.createCellStyle()	Create a new Cell style and add it to the workbook's style table	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
207	org.apache.poi.hwpf.model.types.TAPAbstractType.setWWidthIndent(short)	Left Indent.	10	unknown	not a function	4	
208	org.apache.poi.hslf.record.ExControlAtom.writeOut(java.io.OutputStream)	"Write the contents of the record back	 so it can be written to disk"	41	write	write/record/log/print/output	4	
209	org.apache.poi.hssf.record.FontRecord.setMacoutline(boolean)	whether to use the mac outline font style thing (mac only) - Some mac person should comment this instead of me doing it (since I have no idea)	10	unknown	not a function	4	
210	org.apache.poi.xssf.usermodel.XSSFConditionalFormattingRule.getConditionType()	Type of conditional formatting rule.	10	unknown	not a function	4	
211	org.apache.poi.ddf.EscherClientDataRecord.getRecordSize()	Subclasses should effeciently return the number of bytes required to serialize the record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
212	org.apache.poi.hssf.record.chart.LinkedDataRecord.setReferenceType(byte)	Set the reference type field for the LinkedData record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
213	org.apache.poi.hssf.record.chart.FontBasisRecord.getIndexToFontTable()	Get the index to font table field for the FontBasis record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
214	org.apache.poi.hslf.usermodel.HSLFTable.getRowHeight(int)	Gets the row height	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
215	org.apache.poi.hwpf.model.types.StdfBaseAbstractType.setIstdBase(short)	Sets the istdBase field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
216	org.apache.poi.hwpf.model.types.BKFAbstractType.isFPub()	"When 1	 this indicates that this bookmark is marking the range of a Macintosh Publisher section"	10	unknown	not a function	4	
217	org.apache.poi.xssf.usermodel.XSSFCell.getRowIndex()	Returns row index of a row in the sheet that contains this cell	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
218	org.apache.poi.common.usermodel.Hyperlink.getAddress()	Hyperlink address.	10	unknown	not a function	4	
219	org.apache.poi.hwpf.usermodel.Paragraph.getTabStopsNumber()	Returns number of tabs stops defined for paragraph.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
220	org.apache.poi.hssf.record.PrecisionRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
221	org.apache.poi.openxml4j.util.ZipSecureFile.setMinInflateRatio(double)	Sets the ratio between de- and inflated bytes to detect zipbomb.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
222	org.apache.poi.sl.draw.binding.CTPolarAdjustHandle.getGdRefAng()	Gets the value of the gdRefAng property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
223	org.apache.poi.hpsf.DocumentSummaryInformation.getVBADigitalSignature()	Returns the VBA digital signature for the VBA project  embedded in the document (or null).	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
224	org.apache.poi.hslf.record.AnimationInfoAtom.setSoundIdRef(int)	A 4-byte unsigned integer that specifies a reference to a sound in the SoundCollectionContainer record to locate the embedded audio	10	unknown	not a function	4	
225	org.apache.poi.ss.excelant.util.ExcelAntWorkbookUtil.getEvaluator(java.lang.String)	Returns a formula evaluator that is loaded with the functions that have been supplied.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
226	org.apache.poi.hwpf.model.types.FibBaseAbstractType.isFWhichTblStm()	Specifies the Table stream to which the FIB refers.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
227	org.apache.poi.hssf.usermodel.HSSFSheet.autoSizeColumn(int)	Adjusts the column width to fit the contents.	4	modify	update/modify/fill/edit/change/rename/populate/adjust/flush/trim/adapt/reconcile/resize	4	
228	org.apache.poi.hslf.usermodel.HSLFSheet.createConnector()	create a connector	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
229	org.apache.poi.ddf.EscherBlipRecord.getRecordName()	Subclasses should return the short name for this escher record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
230	org.apache.poi.hwpf.model.types.SEPAbstractType.setYaPage(int)	Set the yaPage field for the SEP record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
231	org.apache.poi.ss.usermodel.ConditionalFormattingRule.getFormula2()	The formula used to evaluate the second operand of the comparison when comparison type is  ConditionType.CELL_VALUE_IS and operator is either ComparisonOperator.BETWEEN or ComparisonOperator.NOT_BETWEEN	34	compute	compute/calculate/determine/evaluate/solve/scale/measure/recalculate/multiply/count/figure/subtract/increase/estimate/return	4	
232	org.apache.poi.sl.draw.binding.CTPresetGeometry2D.setAvLst(CTGeomGuideList)	Sets the value of the avLst property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
233	org.apache.poi.xssf.usermodel.XSSFBorderFormatting.getHorizontalBorderColor()	Range internal borders.	10	unknown	not a function	4	
234	org.apache.poi.hwpf.model.types.LVLFAbstractType.setNfc(byte)	"An MSONFC	 as specified in [MS-OSHARED] section 2.2.1.3	 that specifies the format of the level numbers that replace the placeholders for this level in the xst fields of the LVLs in this list."	10	unknown	not a function	4	
235	org.apache.poi.hwpf.model.types.FFDataBaseAbstractType.setFHasListBox(boolean)	Sets the fHasListBox field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
236	org.apache.poi.xssf.usermodel.BaseXSSFEvaluationWorkbook.convertFromExternSheetIndex(int)	"XSSF doesn't use external sheet indexes	 so when asked treat it just as a local index"	10	unknown	not a function	4	
237	org.apache.poi.ss.formula.ptg.LessThanPtg.getNumberOfOperands()	Get the number of operands for the Less than operator	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
238	"org.apache.poi.ss.usermodel.DataValidation.createPromptBox(java.lang.String	java.lang.String)"	Sets the title and text for the prompt box .	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
239	org.apache.poi.sl.draw.binding.CTPath2DLineTo.setPt(CTAdjPoint2D)	Sets the value of the pt property.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
240	org.apache.poi.hssf.record.chart.AxisParentRecord.setX(int)	Set the x field for the AxisParent record.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
241	org.apache.poi.ss.usermodel.IconMultiStateFormatting.isIconOnly()	"Should Icon + Value be displayed	 or only the Icon?"	10	unknown	not a function	4	
242	org.apache.poi.poifs.storage.BlockAllocationTableWriter.createBlocks()	Create the BATBlocks we need	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
243	org.apache.poi.hwpf.model.types.TCAbstractType.setFRotateFont(boolean)	Sets the fRotateFont field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
244	org.apache.poi.hssf.record.chart.AxisRecord.getReserved2()	Get the reserved2 field for the Axis record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
245	org.apache.poi.hslf.model.PPGraphics2D.getClipBounds()	Returns the bounding rectangle of the current clipping area.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
246	org.apache.poi.hssf.record.chart.TickRecord.getSid()	return the non static version of the id for this record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
247	org.apache.poi.ss.usermodel.CellStyle.getQuotePrefixed()	"""Is Quote Prefix"""" or """"123 Prefix"""" enabled for the cell? Having this on is somewhat (but not completely"""	10	unknown	not a function	4	
248	org.apache.poi.hssf.record.chart.CategorySeriesAxisRecord.setCrossesFarRight(boolean)	Sets the crosses far right field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
249	org.apache.poi.sl.draw.binding.ObjectFactory.createCTAdjPoint2D()	Create an instance of CTAdjPoint2D	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
250	org.apache.poi.hslf.blip.PICT.setSignature(int)	Sets the PICT signature - either 0x5420 or 0x5430	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
251	org.apache.poi.hssf.record.chart.AxisUsedRecord.getNumAxis()	Get the num axis field for the AxisUsed record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
252	org.apache.poi.sl.draw.binding.CTCustomGeometry2D.getGdLst()	Gets the value of the gdLst property.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
253	org.apache.poi.hssf.usermodel.HSSFTextbox.setVerticalAlignment(short)	Sets the vertical alignment.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
254	org.apache.poi.hslf.record.DocumentAtom.getRecordType()	We are of type 1001	10	unknown	not a function	4	
255	org.apache.poi.util.LittleEndianByteArrayOutputStream.createDelayedOutput(int)	Creates an output stream intended for outputting a sequence of size bytes.	7	create	create/build/produce/construct/generate/establish/make/obtain/reconstitute/compose/instantiate/implement/get/retrieve/return	4	
256	org.apache.poi.hssf.record.chart.TextRecord.getOptions1()	Get the options1 field for the Text record.	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
257	org.apache.poi.poifs.property.Property.getViewableIterator()	"Get an Iterator of objects	 some of which may implement POIFSViewable"	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
258	org.apache.poi.util.ByteField.readFromBytes(byte[])	set the value from its offset into an array of bytes	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
259	org.apache.poi.ss.usermodel.IndexedColors.getIndex()	Returns index of this color	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	4	
260	org.apache.poi.hssf.record.TableRecord.toString()	get a string representation of the record (for biffview/debugging)	12	get	return/get/obtain/fetch/acquire/determine/take/capture/retrieve/describe/provide/represent/reclaim/receive/claim/extract	2	create
261	org.apache.poi.poifs.filesystem.NPOIFSStream.free()	Frees all blocks in the stream	31	close	close/end/release/free/finish/dismiss/deactivate/disable	4	
262	org.apache.poi.hwpf.model.types.FibBaseAbstractType.setFSpare0(byte)	Sets the fSpare0 field value.	6	set	set/control/describe/define/specify/tell/give/assign/determine/indicate/configure/schedule/declare/reassign/clamp/put/designate	4	
